Type,Từ,Phiên âm,Hán Việt,Nghĩa,Ví dụ,Phiên âm ví dụ,Nghĩa ví dụ
HSK 1,别的,biéde,Biệt đích,cái khác,我有别的事,Wǒ yǒu biéde shì,Tôi có việc khác
HSK 1,别人,biérén,Biệt nhân,người khác,别人都知道了,Biérén dōu zhīdào le,Mọi người khác đều biết rồi
HSK 1,病,bìng,Bệnh,bệnh,他生病了,Tā shēngbìng le,Anh ấy bị bệnh rồi
HSK 1,病人,bìngrén,Bệnh nhân,bệnh nhân,医院里有很多病人,Yīyuàn lǐ yǒu hěn duō bìngrén,Trong bệnh viện có nhiều bệnh nhân
HSK 1,不大,bùdà,Bất đại,không to lắm,这个房间不大,Zhège fángjiān bùdà,Phòng này không to lắm
HSK 1,不对,bùduì,Bất đối,không đúng,你说得不对,Nǐ shuō de bùduì,Bạn nói không đúng
HSK 1,不客气,búkèqi,Bất khách khí,đừng khách sáo,"不客气, 请进","Búkèqi, qǐng jìn","Đừng khách sáo, mời vào"
HSK 1,不用,búyòng,Bất dụng,không cần,你不用来,Nǐ búyòng lái,Bạn không cần đến
HSK 1,不,bù,Bất,không,我不喜欢,Wǒ bù xǐhuān,Tôi không thích
HSK 1,菜,cài,Thái,món ăn,这个菜很好吃,Zhège cài hěn hǎo chī,Món ăn này rất ngon
HSK 1,茶,chá,Trà,trà,我喜欢喝茶,Wǒ xǐhuān hē chá,Tôi thích uống trà
HSK 1,差,chà,Sai,kém,这个比那个差,Zhège bǐ nàge chà,Cái này kém cái kia
HSK 1,常,cháng,Thường,thường,我常去图书馆,Wǒ cháng qù túshūguǎn,Tôi thường đến thư viện
HSK 1,常常,chángcháng,Thường thường,thường,他常常运动,Tā chángcháng yùndòng,Anh ấy thường xuyên vận động
HSK 1,唱,chàng,Xướng,hát,我喜欢唱歌,Wǒ xǐhuān chànggē,Tôi thích hát
HSK 1,唱歌,chànggē,Xướng ca,hát,她在唱歌,Tā zài chànggē,Cô ấy đang hát
HSK 1,车,chē,Xa,xe,我坐车去学校,Wǒ zuò chē qù xuéxiào,Tôi đi xe đến trường
HSK 1,车票,chēpiào,Xa phiếu,vé xe,我买了一张车票,Wǒ mǎi le yī zhāng chēpiào,Tôi đã mua một vé xe
HSK 1,车上,chēshàng,Xa thượng,trên xe,我在车上等你,Wǒ zài chēshàng děng nǐ,Tôi đợi bạn trên xe
HSK 1,车站,chēzhàn,Xa trạm,bến xe,我们在车站见面,Wǒmen zài chēzhàn jiànmiàn,Chúng ta gặp nhau ở bến xe
HSK 1,吃,chī,Cật,ăn,我想吃苹果,Wǒ xiǎng chī píngguǒ,Tôi muốn ăn táo
HSK 1,吃饭,chīfàn,Cật phạn,ăn cơm,我们一起吃饭,Wǒmen yīqǐ chīfàn,Chúng ta cùng nhau ăn cơm
HSK 1,出,chū,Xuất,ra ngoài,我出去了,Wǒ chū qù le,Tôi ra ngoài rồi
HSK 1,出来,chūlái,Xuất lai,đi ra,他从房间里出来了,Tā cóng fángjiān lǐ chūlái le,Anh ấy đã đi ra khỏi phòng
HSK 1,出去,chūqù,Xuất khứ,đi ra ngoài,我出去一下,Wǒ chūqù yīxià,Tôi đi ra ngoài một chút
HSK 1,穿,chuān,Xuyên,mặc,他每天穿校服,Tā měitiān chuān xiàofú,Anh ấy mặc đồng phục mỗi ngày
HSK 1,床,chuáng,Sàng,giường,我的床很舒服,Wǒ de chuáng hěn shūfú,Giường của tôi rất thoải mái
HSK 1,次,cì,Thứ,lần,我第一次来这里,Wǒ dì yī cì lái zhèlǐ,Đây là lần đầu tiên tôi đến đây
HSK 1,从,cóng,Tòng,từ,我从家里来,Wǒ cóng jiālǐ lái,Tôi từ nhà đến
HSK 1,错,cuò,Thác,sai,我错了,Wǒ cuò le,Tôi sai rồi
HSK 1,打,dǎ,Đả,đánh,他打了我一下,Tā dǎ le wǒ yīxià,Anh ấy đánh tôi một cái
HSK 1,打车,dǎchē,Đả xa,gọi taxi,我们打车去机场,Wǒmen dǎchē qù jīchǎng,Chúng ta gọi taxi đi đến sân bay
HSK 1,打电话,dǎ diànhuà,Đả điện thoại,gọi điện thoại,我打电话给你,Wǒ dǎ diànhuà gěi nǐ,Tôi gọi điện thoại cho bạn
HSK 1,打开,dǎkāi,Đả khai,mở,请打开窗户,Qǐng dǎkāi chuānghù,Xin hãy mở cửa sổ
HSK 1,打球,dǎqiú,Đả cầu,chơi bóng,他喜欢打球,Tā xǐhuān dǎqiú,Anh ấy thích chơi bóng
HSK 1,大,dà,Đại,lớn,他有一个大房子,Tā yǒu yī gè dà fángzi,Anh ấy có một ngôi nhà lớn
HSK 1,大学,dàxué,Đại học,đại học,我在大学学习,Wǒ zài dàxué xuéxí,Tôi học ở đại học
HSK 1,大学生,dàxuéshēng,Đại học sinh,sinh viên,我是大学生,Wǒ shì dàxuéshēng,Tôi là sinh viên
HSK 1,到,dào,Đáo,đến,我到家了,Wǒ dào jiā le,Tôi đã về đến nhà
HSK 1,得到,dédào,Đắc đáo,đạt được,我得到了奖学金,Wǒ dédào le jiǎngxuéjīn,Tôi đã đạt được học bổng
HSK 1,地,dì,Địa,mặt đất,地上有很多人,Dìshàng yǒu hěn duō rén,Trên mặt đất có nhiều người
HSK 1,的,de,Đích,của,这是我的书,Zhè shì wǒ de shū,Đây là sách của tôi
HSK 1,等,děng,Đẳng,đợi,请等我一下,Qǐng děng wǒ yīxià,Xin đợi tôi một chút
HSK 1,地,dì,Địa,đất,这块地是我的,Zhè kuài dì shì wǒ de,Mảnh đất này là của tôi
HSK 1,地点,dìdiǎn,Địa điểm,địa điểm,会议的地点在五楼,Huìyì de dìdiǎn zài wǔ lóu,Địa điểm họp ở tầng năm
HSK 1,地方,dìfang,Địa phương,địa phương,这个地方很安静,Zhège dìfang hěn ānjìng,Địa phương này rất yên tĩnh
HSK 1,地上,dìshàng,Địa thượng,trên mặt đất,他坐在地上,Tā zuò zài dìshàng,Anh ấy ngồi trên mặt đất
HSK 1,地图,dìtú,Địa đồ,bản đồ,我需要一张地图,Wǒ xūyào yī zhāng dìtú,Tôi cần một tấm bản đồ
HSK 1,弟弟,dìdi,Đệ đệ,em trai,我弟弟很可爱,Wǒ dìdi hěn kě'ài,Em trai tôi rất dễ thương
HSK 1,第,dì,Đệ,thứ,他是第一名,Tā shì dì yī míng,Anh ấy là người thứ nhất
HSK 1,点,diǎn,Điểm,giờ,现在是三点,Xiànzài shì sān diǎn,Bây giờ là ba giờ
HSK 1,电,diàn,Điện,điện,电是非常重要的,Diàn shì fēicháng zhòngyào de,Điện rất quan trọng
HSK 1,电话,diànhuà,Điện thoại,điện thoại,我给你打电话,Wǒ gěi nǐ dǎ diànhuà,Tôi gọi điện thoại cho bạn
HSK 1,电脑,diànnǎo,Điện não,máy tính,我有一台电脑,Wǒ yǒu yī tái diànnǎo,Tôi có một chiếc máy tính
HSK 1,电视,diànshì,Điện thị,truyền hình,我在看电视,Wǒ zài kàn diànshì,Tôi đang xem truyền hình
HSK 1,电视机,diànshìjī,Điện thị cơ,ti vi,我家有一台电视机,Wǒ jiā yǒu yī tái diànshìjī,Nhà tôi có một chiếc ti vi
HSK 1,电影,diànyǐng,Điện ảnh,phim,我喜欢看电影,Wǒ xǐhuān kàn diànyǐng,Tôi thích xem phim
HSK 1,电影院,diànyǐngyuàn,Điện ảnh viện,rạp chiếu phim,我们去电影院吧,Wǒmen qù diànyǐngyuàn ba,Chúng ta đi rạp chiếu phim đi
HSK 1,东,dōng,Đông,đông,我家在城东,Wǒ jiā zài chéng dōng,Nhà tôi ở phía đông thành phố
HSK 1,东边,dōngbiān,Đông biên,phía đông,学校在东边,Xuéxiào zài dōngbiān,Trường học ở phía đông
HSK 1,东西,dōngxi,Đông tây,đồ vật,我买了很多东西,Wǒ mǎi le hěn duō dōngxi,Tôi đã mua nhiều đồ vật
HSK 1,动,dòng,Động,di chuyển,他在动,Tā zài dòng,Anh ấy đang di chuyển
HSK 1,动作,dòngzuò,Động tác,động tác,他的动作很快,Tā de dòngzuò hěn kuài,Động tác của anh ấy rất nhanh
HSK 1,都,dōu,Đô,đều,他们都来了,Tāmen dōu lái le,Họ đều đến rồi
HSK 1,读,dú,Độc,đọc,他在读报纸,Tā zài dú bàozhǐ,Anh ấy đang đọc báo
HSK 1,读书,dúshū,Độc thư,đọc sách,她每天读书,Tā měitiān dúshū,Cô ấy đọc sách mỗi ngày
HSK 1,对,duì,Đối,đúng,你的答案是对的,Nǐ de dá'àn shì duì de,Đáp án của bạn đúng
HSK 1,对不起,duìbuqǐ,Đối bất khởi,xin lỗi,"对不起, 我迟到了","Duìbuqǐ, wǒ chídào le","Xin lỗi, tôi đến muộn"
HSK 1,多,duō,Đa,nhiều,这里有很多人,Zhèlǐ yǒu hěn duō rén,Ở đây có rất nhiều người
HSK 1,多少,duōshao,Đa thiểu,bao nhiêu,这里有多少人,Zhèlǐ yǒu duōshao rén,Ở đây có bao nhiêu người?
HSK 1,饿,è,Nga,đói,我很饿,Wǒ hěn è,Tôi rất đói
HSK 1,儿子,érzi,Nhi tử,con trai,我有一个儿子,Wǒ yǒu yī gè érzi,Tôi có một cậu con trai
HSK 1,二,èr,Nhị,hai,我有二十块钱,Wǒ yǒu èrshí kuài qián,Tôi có hai mươi đồng
HSK 1,饭,fàn,Phạn,cơm,我们一起吃饭,Wǒmen yīqǐ chīfàn,Chúng ta cùng nhau ăn cơm
HSK 1,饭店,fàndiàn,Phạn điếm,nhà hàng,我们去饭店吃饭,Wǒmen qù fàndiàn chīfàn,Chúng ta đi ăn ở nhà hàng
HSK 1,房间,fángjiān,Phòng gian,phòng,我的房间很大,Wǒ de fángjiān hěn dà,Phòng của tôi rất lớn
HSK 1,房子,fángzi,Phòng tử,ngôi nhà,我有一栋房子,Wǒ yǒu yī dòng fángzi,Tôi có một ngôi nhà
HSK 1,放,fàng,Phóng,đặt,请把书放在桌上,Qǐng bǎ shū fàng zài zhuō shàng,Xin đặt sách lên bàn
HSK 1,放假,fàngjià,Phóng giả,nghỉ phép,我们下周放假,Wǒmen xià zhōu fàngjià,Chúng ta nghỉ phép tuần tới
HSK 1,放学,fàngxué,Phóng học,tan học,我们下午三点放学,Wǒmen xiàwǔ sān diǎn fàngxué,Chúng ta tan học lúc ba giờ chiều
HSK 1,飞,fēi,Phi,bay,鸟在天上飞,Niǎo zài tiānshàng fēi,Chim bay trên trời
HSK 1,飞机,fēijī,Phi cơ,máy bay,我坐飞机去旅行,Wǒ zuò fēijī qù lǚxíng,Tôi đi du lịch bằng máy bay
HSK 1,非常,fēicháng,Phi thường,rất,他非常高兴,Tā fēicháng gāoxìng,Anh ấy rất vui
HSK 1,分,fēn,Phân,phút,现在是三点五分,Xiànzài shì sān diǎn wǔ fēn,Bây giờ là ba giờ năm phút
HSK 1,风,fēng,Phong,gió,外面风很大,Wàimiàn fēng hěn dà,Bên ngoài gió rất lớn
HSK 1,干,gàn,Cán,làm,他在干作业,Tā zài gàn zuòyè,Anh ấy đang làm bài tập
HSK 1,干净,gānjìng,Cán tịnh,sạch sẽ,这个房间很干净,Zhège fángjiān hěn gānjìng,Phòng này rất sạch sẽ
HSK 1,干,gān,Can,khô,这块布很干,Zhè kuài bù hěn gān,Mảnh vải này rất khô
HSK 1,干什么,gànshénme,Cán thập ma,làm gì,你在干什么,Nǐ zài gànshénme,Bạn đang làm gì?
HSK 1,高,gāo,Cao,cao,他很高,Tā hěn gāo,Anh ấy rất cao
HSK 1,高兴,gāoxìng,Cao hứng,vui mừng,我很高兴见到你,Wǒ hěn gāoxìng jiàndào nǐ,Tôi rất vui mừng khi gặp bạn
HSK 1,告诉,gàosu,Cáo tố,nói cho,请告诉我你的名字,Qǐng gàosu wǒ nǐ de míngzi,Làm ơn nói cho tôi biết tên bạn
HSK 1,哥哥,gēge,Ca ca,anh trai,我哥哥比我大,Wǒ gēge bǐ wǒ dà,Anh trai tôi lớn hơn tôi
HSK 1,歌,gē,Ca,hát,他在唱歌,Tā zài chànggē,Anh ấy đang hát
HSK 1,个,gè,Cá,"cái, quả",我有一个苹果,Wǒ yǒu yī gè píngguǒ,Tôi có một quả táo
HSK 1,给,gěi,Cấp,"đưa, cho",请把书给我,Qǐng bǎ shū gěi wǒ,Xin đưa sách cho tôi
HSK 1,跟,gēn,Cân,cùng,我跟他一起去,Wǒ gēn tā yīqǐ qù,Tôi đi cùng với anh ấy
HSK 1,工人,gōngrén,Công nhân,công nhân,工人在工作,Gōngrén zài gōngzuò,Công nhân đang làm việc
HSK 1,工作,gōngzuò,Công tác,công việc,我每天工作八小时,Wǒ měitiān gōngzuò bā xiǎoshí,Tôi làm việc tám giờ mỗi ngày
HSK 1,关,guān,Quan,đóng,请关门,Qǐng guānmén,Xin hãy đóng cửa
HSK 1,关上,guānshàng,Quan thượng,"đóng (chặt, hoàn toàn)",请关上窗户,Qǐng guānshàng chuānghu,Xin hãy đóng chặt cửa sổ
HSK 1,贵,guì,Quý,đắt,这件衣服很贵,Zhè jiàn yīfu hěn guì,Bộ quần áo này rất đắt
HSK 1,国,guó,Quốc,"quốc gia, đất nước",我爱我的国家,Wǒ ài wǒ de guójiā,Tôi yêu đất nước của tôi
HSK 1,国家,guójiā,Quốc gia,quốc gia,中国是一个大国家,Zhōngguó shì yī gè dà guójiā,Trung Quốc là một quốc gia lớn
HSK 1,国外,guówài,Quốc ngoại,nước ngoài,他住在国外,Tā zhù zài guówài,Anh ấy sống ở nước ngoài
HSK 1,过,guò,Quá,đã từng,我去过北京,Wǒ qù guò Běijīng,Tôi đã từng đến Bắc Kinh
HSK 1,还,hái,Hoàn,vẫn,他还在工作,Tā hái zài gōngzuò,Anh ấy vẫn đang làm việc
HSK 1,还是,háishì,Hoàn thị,hay,你想喝茶还是咖啡,Nǐ xiǎng hē chá háishì kāfēi,Bạn muốn uống trà hay cà phê?
HSK 1,还有,háiyǒu,Hoàn hữu,còn có,我还有一个问题,Wǒ háiyǒu yī gè wèntí,Tôi còn có một câu hỏi
HSK 1,孩子,háizi,Hài tử,đứa trẻ,孩子们在玩游戏,Háizi men zài wán yóuxì,Những đứa trẻ đang chơi trò chơi
HSK 1,汉语,Hànyǔ,Hán ngữ,tiếng Trung,我在学汉语,Wǒ zài xué Hànyǔ,Tôi đang học tiếng Trung
HSK 1,汉字,Hànzì,Hán tự,chữ Hán,这个汉字怎么读,Zhège Hànzì zěnme dú,Chữ Hán này đọc thế nào?
HSK 1,好,hǎo,Hảo,"tốt, khoẻ",你今天看起来很好,Nǐ jīntiān kàn qǐlái hěn hǎo,Hôm nay bạn trông rất khoẻ
HSK 1,好吃,hǎochī,Hảo cật,ngon,这个菜很好吃,Zhège cài hěn hǎochī,Món này rất ngon
HSK 1,好看,hǎokàn,Hảo khán,"đẹp, hay (đáng xem)",这本书很好看,Zhè běn shū hěn hǎokàn,Cuốn sách này rất hay
HSK 1,好听,hǎotīng,Hảo thính,nghe hay,这首歌很好听,Zhè shǒu gē hěn hǎotīng,Bài hát này rất hay
HSK 1,好玩儿,hǎowánr,Hảo ngoạn nhi,chơi vui,这个游戏很好玩儿,Zhège yóuxì hěn hǎowánr,Trò chơi này chơi rất vui
HSK 1,号,hào,Hiệu,"số, thứ",今天是几号,Jīntiān shì jǐ hào,Hôm nay là ngày thứ mấy
HSK 1,喝,hē,Hát,uống,我喜欢喝茶,Wǒ xǐhuān hē chá,Tôi thích uống trà
HSK 1,和,hé,Hòa,"và, cùng",我和你一起去,Wǒ hé nǐ yīqǐ qù,Tôi đi cùng bạn
HSK 1,很,hěn,Ngận,rất,他很高兴,Tā hěn gāoxìng,Anh ấy rất vui
HSK 1,后,hòu,Hậu,sau,下课后我们去吃饭,Xiàkè hòu wǒmen qù chīfàn,Sau giờ học chúng ta đi ăn
HSK 1,后边,hòubiān,Hậu biên,phía sau,学校在公园后边,Xuéxiào zài gōngyuán hòubiān,Trường học ở phía sau công viên
HSK 1,后天,hòutiān,Hậu thiên,ngày kia,后天我有一个考试,Hòutiān wǒ yǒu yī gè kǎoshì,Ngày kia tôi có một bài kiểm tra
HSK 1,花,huā,Hoa,hoa,我喜欢种花,Wǒ xǐhuān zhòng huā,Tôi thích trồng hoa
HSK 1,话,huà,Thoại,nói,他说了一句有趣的话,Tā shuō le yī jù yǒuqù de huà,Anh ấy nói một câu nói thú vị
HSK 1,坏,huài,Hoại,hỏng,这个手机坏了,Zhège shǒujī huài le,Chiếc điện thoại này bị hỏng
HSK 1,还,huán,Hoàn,trả lại,我还书给图书馆,Wǒ huán shū gěi túshūguǎn,Tôi trả lại sách cho thư viện
HSK 1,回,huí,Hồi,về,我会晚点回家,Wǒ huì wǎndiǎn huíjiā,Tôi sẽ về nhà muộn
HSK 1,回答,huídá,Hồi đáp,trả lời,请回答我的问题,Qǐng huídá wǒ de wèntí,Xin trả lời câu hỏi của tôi
HSK 1,回到,huídào,Hồi đáo,về đến,他已经回到家了,Tā yǐjīng huídào jiā le,Anh ấy đã về đến nhà rồi
HSK 1,回家,huíjiā,Hồi gia,về nhà,我们六点回家,Wǒmen liù diǎn huíjiā,Chúng tôi về nhà lúc sáu giờ
HSK 1,回来,huílái,Hồi lai,trở về,他今天不回来,Tā jīntiān bù huílái,Hôm nay anh ấy không trở về
HSK 1,回去,huíqù,Hồi khứ,đi về,我明天回去学校,Wǒ míngtiān huíqù xuéxiào,Ngày mai tôi đi về trường
HSK 1,会,huì,Hội,gặp,我们明天会面,Wǒmen míngtiān huìmiàn,Chúng ta sẽ gặp nhau vào ngày mai
HSK 1,火车,huǒchē,Hỏa xa,xe lửa,我坐火车去上海,Wǒ zuò huǒchē qù Shànghǎi,Tôi đi Thượng Hải bằng xe lửa
HSK 1,机场,jīchǎng,Cơ trường,sân bay,他现在在机场,Tā xiànzài zài jīchǎng,Hiện tại anh ấy đang ở sân bay
HSK 1,机票,jīpiào,Cơ phiếu,vé máy bay,我买了一张机票,Wǒ mǎi le yī zhāng jīpiào,Tôi đã mua một vé máy bay
HSK 1,鸡蛋,jīdàn,Kê đản,trứng gà,早餐我吃了两个鸡蛋,Zǎocān wǒ chī le liǎng gè jīdàn,Bữa sáng tôi đã ăn hai quả trứng gà
HSK 1,几,jǐ,Kỷ,bao nhiêu,你有几个苹果,Nǐ yǒu jǐ gè píngguǒ,Bạn có bao nhiêu quả táo?
HSK 1,记,jì,Ký,ghi lại,请记下这个地址,Qǐng jì xià zhège dìzhǐ,Xin ghi lại địa chỉ này
HSK 1,记得,jìdé,Ký đắc,nhớ,我记得你的名字,Wǒ jìdé nǐ de míngzi,Tôi nhớ tên bạn
HSK 1,记住,jìzhù,Ký trú,nhớ,请记住我的话,Qǐng jìzhù wǒ de huà,Xin hãy nhớ lời tôi
HSK 1,家,jiā,Gia,nhà,我家很大,Wǒ jiā hěn dà,Nhà tôi rất lớn
HSK 1,家里,jiālǐ,Gia lý,trong nhà,我家里有很多书,Wǒ jiālǐ yǒu hěn duō shū,Trong nhà tôi có nhiều sách
HSK 1,家人,jiārén,Gia nhân,người nhà,我的家人都很亲切,Wǒ de jiārén dōu hěn qīnqiè,Người nhà tôi đều rất thân thiết
HSK 1,间,jiān,Gian,gian,这间房子很小,Zhè jiān fángzi hěn xiǎo,Gian phòng này rất nhỏ
HSK 1,见,jiàn,Kiến,gặp,我昨天见了他,Wǒ zuótiān jiàn le tā,Hôm qua tôi đã gặp anh ấy
HSK 1,见面,jiànmiàn,Kiến diện,gặp mặt,我们明天见面,Wǒmen míngtiān jiànmiàn,Chúng ta gặp mặt vào ngày mai
HSK 1,教,jiāo,Giáo,dạy,老师教我们汉语,Lǎoshī jiāo wǒmen Hànyǔ,Giáo viên dạy chúng tôi tiếng Trung
HSK 1,叫,jiào,Khiếu,gọi,请叫他来,Qǐng jiào tā lái,Xin hãy gọi anh ấy đến
HSK 1,教学楼,jiàoxuélóu,Giáo học lâu,tòa nhà giảng dạy,我们的教学楼很大,Wǒmen de jiàoxuélóu hěn dà,Tòa nhà giảng dạy của chúng tôi rất lớn
HSK 1,姐姐,jiějie,Tỷ tỷ,chị gái,我姐姐在北京工作,Wǒ jiějie zài Běijīng gōngzuò,Chị gái tôi làm việc ở Bắc Kinh
HSK 1,介绍,jièshào,Giới thiệu,giới thiệu,请介绍一下你自己,Qǐng jièshào yīxià nǐ zìjǐ,Xin hãy giới thiệu một chút về bản thân bạn
HSK 1,今年,jīnnián,Kim niên,năm nay,今年我打算去旅游,Jīnnián wǒ dǎsuàn qù lǚyóu,Năm nay tôi dự định đi du lịch
HSK 1,今天,jīntiān,Kim thiên,hôm nay,今天我很忙,Jīntiān wǒ hěn máng,Hôm nay tôi rất bận
HSK 1,进,jìn,Tiến,vào,请进,Qǐng jìn,Mời vào
HSK 1,进来,jìnlái,Tiến lai,vào đây,请进来坐,Qǐng jìnlái zuò,Mời vào đây ngồi
HSK 1,进去,jìnqù,Tiến khứ,đi vào,他已经进去了,Tā yǐjīng jìnqù le,Anh ấy đã đi vào trong rồi
HSK 1,九,jiǔ,Cửu,chín,我有九本书,Wǒ yǒu jiǔ běn shū,Tôi có chín quyển sách
HSK 1,就,jiù,Tựu,ngay,我们马上就走,Wǒmen mǎshàng jiù zǒu,Chúng ta đi ngay lập tức
HSK 1,觉得,juéde,Giác đắc,cảm thấy,我觉得很累,Wǒ juéde hěn lèi,Tôi cảm thấy rất mệt
HSK 1,开,kāi,Khai,mở,请开窗户,Qǐng kāi chuānghu,Xin hãy mở cửa sổ
HSK 1,开车,kāichē,Khai xa,lái xe,他会开车,Tā huì kāichē,Anh ấy biết lái xe
HSK 1,开会,kāihuì,Khai hội,họp,我们正在开会,Wǒmen zhèngzài kāihuì,Chúng tôi đang họp
HSK 1,开玩笑,kāiwánxiào,Khai ngoạn tiếu,đùa,我只是开玩笑,Wǒ zhǐshì kāiwánxiào,Tôi chỉ đùa thôi
HSK 1,看,kàn,Khán,xem,我喜欢看电影,Wǒ xǐhuān kàn diànyǐng,Tôi thích xem phim
HSK 1,看病,kànbìng,Khán bệnh,khám bệnh,我去医院看病,Wǒ qù yīyuàn kànbìng,Tôi đi bệnh viện khám bệnh
HSK 1,看到,kàndào,Khán đáo,nhìn thấy,我在街上看到他,Wǒ zài jiē shàng kàndào tā,Tôi nhìn thấy anh ấy trên phố
HSK 1,看见,kànjiàn,Khán kiến,trông thấy,我看见了一只猫,Wǒ kànjiàn le yī zhī māo,Tôi trông thấy một con mèo
HSK 1,考,kǎo,Khảo,thi,我们明天要考数学,Wǒmen míngtiān yào kǎo shùxué,Ngày mai chúng tôi thi môn toán
HSK 1,考试,kǎoshì,Khảo thí,kỳ thi,这次考试很重要,Zhè cì kǎoshì hěn zhòngyào,Kỳ thi này rất quan trọng
HSK 1,渴,kě,Khát,khát,"我渴了, 想喝水","Wǒ kě le, xiǎng hē shuǐ","Tôi khát rồi, muốn uống nước"
HSK 1,课,kè,Khóa,"bài học, tiết học",我喜欢这门课,Wǒ xǐhuān zhè mén kè,Tôi thích tiết học này
HSK 1,课本,kèběn,Khóa bản,sách giáo khoa,请打开你的课本,Qǐng dǎkāi nǐ de kèběn,Xin hãy mở sách giáo khoa của bạn ra
HSK 1,课文,kèwén,Khóa văn,bài học,我们今天学习了新的课文,Wǒmen jīntiān xuéxí le xīn de kèwén,Hôm nay chúng ta học bài học mới
HSK 1,口,kǒu,Khẩu,miệng,请闭上你的口,Qǐng bì shàng nǐ de kǒu,Xin hãy câm miệng lại
HSK 1,块,kuài,Khối,miếng,给我一块面包,Gěi wǒ yī kuài miànbāo,Cho tôi một miếng bánh mì
HSK 1,快,kuài,Khoái,nhanh,火车开得很快,Huǒchē kāi de hěn kuài,Tàu hỏa chạy rất nhanh
HSK 1,来,lái,Lai,đến,他来了,Tā lái le,Anh ấy đến rồi
HSK 1,来到,láidào,Lai đáo,đến (nơi),他已经来到学校,Tā yǐjīng láidào xuéxiào,Anh ấy đã đến trường rồi
HSK 1,老,lǎo,Lão,già,他是个老医生,Tā shì gè lǎo yīshēng,Anh ấy là một bác sĩ già
HSK 1,老人,lǎorén,Lão nhân,người già,公园里有很多老人,Gōngyuán lǐ yǒu hěn duō lǎorén,Trong công viên có nhiều người già
HSK 1,老师,lǎoshī,Lão sư,giáo viên,我的老师很友好,Wǒ de lǎoshī hěn yǒuhǎo,Giáo viên của tôi rất thân thiện
HSK 1,了,le,Liễu,rồi,我吃了饭,Wǒ chī le fàn,Tôi ăn cơm rồi
